	Query	UserId	ChatsNum	BotAnswersNum	HelpsNum	Date	QueryLen
0	"Подскажите пожалуйста, в приказе о приеме сотрудника его должность такая: ""Ведущий инженер землеустроитель-специалист по разрешительной документации в строительстве отдела капитального строительства"". При подаче сведений в СФР о трудовой деятельности указывается код: 2162.8. Это допустимо?"	250541	1	0	0	2023-10-09	36
1	Добрый день. Подскажите пожалуйста, мы заключили договор на оказание услуг, при этом по условиям этого договора заказчик тоже оказывает нам услуги, но в стоимость нашего договора они не включены и как следствие, заказчик выставляет нам документы для оплаты, мы их оплачиваем, но после этого перевыставляем эту сумму заказчику, так как по условиям договора без оказания этой услуги не будут оказаны наши услуги. Вопрос в том чем это чревато, что деньги по факту гоняем туда-сюда?	18036900	1	0	0	2023-10-09	75
2	когда выплатить аванс сотруднику принятому на работу с 1 числа месяца в 2023 г	935228	1	1	0	2023-10-09	14
3	"Организация (ООО на УСН Д-Р) выдала беспроцентный займ стороннему лицу (ИП). Где в 1 С должна быть отражена данная операция? Какие этапы прохождения данной операции, в том числе расчет материальной выгоды и НДФЛ с неё. Как ООО должно ""закрыть"" историю с займом если по прошествию времени долг ИП прощается и займ не возвращается."	20105243	1	0	0	2023-10-09	54
4	Пришло уведомление о вызове по 6 ндфл за 6 месяцев, причина указана нпд, как ответить	2562434	1	0	0	2023-10-09	15
5	Здравствуйте, Подскажите, если человек работает по договору подряда и заблел можем мы ему в период болезни передать окончание договора по форме ЕФС-1 раздел 1?	1820173	1	0	0	2023-10-09	25
6	Здравствуйте	3610338	1	0	0	2023-10-09	1
7	добрый день	16559331	1	1	0	2023-10-09	2
8	Можно ли восстановить ответы?	217576	1	0	0	2023-10-09	4
9	Добрый день, можно ли выплатить премию уволенному работнику через месяц после увольнения ?	9680708	1	0	0	2023-10-09	12
10	Здравствуйте.Сотрудник, работающий по основному месту внутренним совместителем, принес больничный лист. Как его оплачивать по двум местам работы? Если нет, то как табелировать по внутреннему совместительству	3116026	1	0	0	2023-10-09	26
11	Здравствуйте. какие требования для заполнения п/п при отправке вознаграждения конкурсному управляющему в адрес суда. банк не принимает заполненную платежку. возвращает обратно. статус плательщика ставила и 01 и 08.	17105777	1	0	0	2023-10-09	29
12	Добрый день!	147263	1	1	0	2023-10-09	2
13	Добрый день! Отправьте ,пожалуйста, шаблон приказа о назначении ответственных лиц за прием и хранение на склад готовой продукции	19051466	1	0	0	2023-10-09	18
14	Доброе Утро. Подскажите пожалуйста, если самозанятый получил доход от ООО, а зарегистрировал его в приложении через месяц, какие то санкции к нему будут приниматься со стороны налоговых органов?	4686204	1	0	0	2023-10-09	28
15	Добрый день. Подскажите пожалуйста, мы заключили договор на оказание услуг, при этом по условиям этого договора заказчик тоже оказывает нам услуги, но в стоимость нашего договора они не включены и как следствие, заказчик выставляет нам документы для оплаты, мы их оплачиваем, но после этого перевыставляем эту сумму заказчику, так как по условиям договора без оказания этой услуги не будут оказаны наши услуги. Вопрос в том чем это чревато, что деньги по факту гоняем туда-сюда?	18036900	1	0	0	2023-10-09	75
16	Доброе утро. В уведомлении за август подали НДФЛ, который должны были подать только за август. Нужно ли подавать уведомление за за август повторно или достаточно 6-ндфл которые мы сейчас готовим	17722267	1	0	0	2023-10-09	31
17	"Добрый день! На предприятии работает ""внещний"" совместитель. Он заболел. Для расчета больничного он попросил справку для выплаты по основному месту работы. Вопрос : Кто оплачивает 3 дня больничного оба работодателя или тот кто оформляет больничный от двух работодателей?"	1996493	1	0	0	2023-10-09	37
18	Добрый день.	3261709	1	1	0	2023-10-09	2
19	Здравствуйте! Подскажите пожалуйста, как отразить в учете правильно? Приобретаем трактор стоимостью более 100000 руб, но не для использования его, как трактор, а для разбора его в металлолом.	243314	1	0	0	2023-10-09	27
20	Здравствуйте, Как списать в НУ стоимость основных средств, которые не используются .	415512	1	0	0	2023-10-09	11
